source,target,edge
so  I,so  home,felt
why  I,whole  week,made
there  who,well  night,is dark
even  I,clean  towels,emptied
where roof you,evenings,is
maybe  two,longer  stay,is
Family,building,live In
totally  what,totally  arrival,was
they,towels,had
40 Pisac staff,extra  cost,stayed in
when  I,English  channels,was spacious
where  I,daily  rooftop,'s beside
It,great dorm ed,is
I,0  rating,wish
I,3  nights,had
Peruvian travel that,quaint  place,booked
here,$  35,'m
stained bedroom staff,day  breakfast,get
I,tea,juice
pre  that,home,is
Sleeping,other street guests,is
legal  it,only  H,lost
Considering,establishment,is TERRIBLE
Warning others,good  day,is
hot  you,proper  you,is
60  breakfast,60  night,tried
more  we,10  10:40am,wanted
already  she,advance,was open
We,more  us,had
who,advice  Cusco,are
Hostel del Marquez,little San bars,located
They,incredible rooftop Cusco,have incredible
they,girls,are lovely
clean  we,so  mark,is clean
They,alternative  Cusco,offer alternative
I,prior pur arrival,booked
he,room  us,said to
It,thick friendlt desk,had
early  light,curtains,check
hotel,Cusco,included in
very  what,red bed bathroom,was
second  we,different  hotel,room
very  window,only  building,was
really  blankets,really  night,got
night  room,night  hallway,had bright
sharp ear noises,hallway,wore
We,great  stay,stayed at
we,family,were lovely
low  it,low  hotel,was great
we,everything,was close
it,outside  night,feels uninviting
Wi fi coverage,hotel,is deficient
included  breakfast,six  ham,was
couple  we,hot  water,left out
I,better  price,expected
I,prior Machu cleanliness,stayed
importantly  they,most  part,was understandable
we,final  day,stored
good  meager,good  things,made
available altitude we,pleasant  stay,work for
travel agent,us,Let
business it,hot  showers,promises hot
first  we,hot  water,had
probably  hotel,guests,said
it,different  room,give
probably  amount,it,'s
Breakfast,7  10am,included from
They,also  times,have
helpful  I,Peru,used
clean  you,price,location
us,lock us,let
We,November,stayed in
5  which,5  soles,located
Amenities,hotel,are
breakfast,juice,consisted of
I,again  hotel,mind
showers,hot  water,are comfortable
also  we,them,offer
It,main  spots,is
you,trip details,be
It,worst  life,was
black t shirts,cold  water,Done
Bad  attitude,staff,was
late  we,late  night,let
ensuite  which,ensuite  room,had
constant horn dogs,constant  traffic,is
actually  people,avail,arrived at
This,great Budget you,is
American  they,American  standards,exist
unfortunately  it,stated  conditions,contracted
more  tour,more  money,had
twice  showers,room,changed
Ants,walls,coming out
staff,city,are veryunhelpful
i,breakfast this,sitting at
hot  water,electric heater machines,are ok
you,Hostel,buying
USD Macchu we,selves,sold
very  he,trust,found
people,hostel,know
very  I,home,work
buscaba soluciones,instagram mientras,viajes
además por calle y peleas,la madrugada,hasta
Si quieren,lo peor comodidad e higiene,conocer
dueños y quienes,atienden del día sin,disculpas
Además,te que cambies,piden
Hotel Velvet lindo e novinho,maravilhosa,ducha
Las,y el agradable,instalaciones
que que debería estar,3 por estrellas,habitaciones
Cuzco,cheap  couples,is
Room,ensuite,is small
it,budget,'s
in  somebody,just  check,living
We,dirt,use
dar nenhuma explicação,de qual horário abririam,pelo
donde que ir,super casa servicial,hacer
Reservamos,3  pareja,por
y al llegar,agua por la establecimiento,había
de y nos que,de  21:30,había
hacer el check,su web esto,pone
de tienen distintas,zona solo hay una,funciona
para,quejado,reiniciarla
La habitación pedimos,nos  la,cama
de y también dorgas,creer lo qu,aqui
pesar asi desde o,tampoco robaban las pilas,pena
que por primera,años estoy contando una,definitiva
se surge una personalidad,me,verdad
finalmente aparecieron en lugares,las habiamos dejado,entiendo
funciona lo,que la nuestra,mismo
We,2017 Inca Trail,stayed at
We,away Hostal booking,turned
Hostal Qorikilla,main  Cusco,is in
hot  that,Cusco,are spacious
Ours,storage space,had
building,good mobility problems,was spacious
nice reading which,nice reading books,is
Breakfast,nice dining city,served on
you,South America,is
when  we,service,told
camere sono veramente,noi si periodo,dormito
sono gentilissimi e,10 una comoda passeggiata,è in
del,de la la,ruidosas
de accesibles y asesorados,doña Vicky,por
jour de notre,découvert le poteau,arrivée nous
nous  sommes,18h30 l'hostel Monarca,arrivés
expliqué et qu'il avait,nous Machu Picchu,pour nous
nous Quand aurions,de est sens,pas
nous je suis fait,nous je suis tout,manifester
Night attendant,Spanish rap midnight,plays Spanish
Place,single  star,is
la según los,europeos,calidad
la recepción era,amable,muy amable
saída,ônibus,do
meu,me,Intipata
É hotel novo,não condizem instalações,que
35 soles por em,triplo o,que
Não havia quarto triplo,e quarto duplo pelo,disponível
acordar fomos da manhã e,que  me,quartos
que  seriam,35 por pessoa,pelo
chamei o falei,iria turística,que
nos quarto triplo,25 soles por pessoa,oferecer
o dobro da distância,que o cara,que
não deixava pegássemos o folder,que  olhar,tinha que
da falo razoavelmente e,professora de espanhol,minha
deles,perna em nós,difícil
outras,como logo,terem
Fomos ao centro,pé,histórico
ficar lá mesmo já,muito boas em,pessoa
Como estávamos,25  soles,pagando
de uma brasileiros,recepção pouco hotel,do
Conversa vai,quanto estávamos pagando,eles
30 já que o,25 soles era,soles
30 por Vejam,de palavra nós,como
em brasileiros já,família,que
perceber confusão e descobrir,estavam sendo enganados,negócios
noite por lá,ainda hotel,novamente
há dois computadores,e sem nenhum,do
Horas e,que não havia,horas
Além,10 soles era,soles
primeiro dia,problemas,do
10 e diminuir em,5 conta da soles,muito
o nome escrever o Hotel,para ninguém nele,aqui
Então se,oferecer esse hotel,chegarem
O até bom em,dono até o dono camareira,hotel
que tengas un lugar,dejar tus maletas,vas
# ofrecer este se,de manera grosera,negaron
estado de en muy mal,estado de el estado la,Asimismo
when  we,culture,rent
We,amazing  results,had amazing
even  them,washing which,saw
English,no  help,had
live suicide neither,few  seconds,were
we,certainly  it,was awful
two downstairs washrooms,up  each,were late
whole  place,long  time,cleaned in
playground,center,was rusty
it,all,is
se tratando de uma,tao fria,cidade
pouco pois,1,simples
Cafe da,simples,manha
acomodaxao simples,pena,vale
Tem  em,pousada,supermercado
I,here Casa Wasi House,had
very  it,very  staff,accommodating
They,also  airport,arrange
they,so  Spanish,helps
upstairs rooms,lower,seem quieter
times  I,new credit card charges,had
they,restaurant,were nice
many  they,them,had
this,Booking,cancelled
they,us,annoyed with
I,it,booked
them,then  passport,needed
I,them,clean
two  who,specially  morning,were
They,also breakfast morning,took
They,higher USD rate,tried
nice  I,place,recommend
you,what,are cheap
only  that,hostel,saw
rooms,serious  humidity,need
that,this,are
owner,needed  renovation,is
probably  system,hot  water,run out
kind  part,windows,was noisy
so  we,noise,served
even  it,us,told
room,center,is
hotel location,bit  armas,is central
4  place,best  wifi,gave
nice  wifi,nice  hotels,stayed at
nights  TV,light  sleepers,was loud
WiFi,well  lobby,work
it,strong  way,walk to
We,5  downtown,got
This,Peruvian type courtyard,is
Breakfast,bread,included with
you,few  days,store
Rooms,English language BBC,have
hot  sinks,hot  water,have hot
little sister that,little sister center,have
chit chating chit they,open  field,At
Also  you,toilet paper,have
You,later  dinner,need
We,priced laundry service,appreciated
fresh toilet we,fresh  towels,emptied
you,other  guests,use
de  it,taxi,’s
It,many  restaurants,’s
Overall  it,good budget traveler,’s
de todo lo que,su alcance,está
Hay WiFi,huéspedes dejar limpio después,puedes
nos,65 por dólares,ofrece
pero tiene,cocina,acceso
La,es,ducha
Hay de los alrededores,transita mucha gente,debido
Lo que,me,más
comparación opciones con el,una buena opción,mismo
mas pelo,eu me lembre,bem
No dia que nos hospedamos,de até esse mostrou,preço
mas,aquele homem dissesse,que
os tem,em,negocia
It,bad  hostal,was
hot  shower,tiny  water,was
We,toilet paper,had
room,several  room,was dirty
de explicaron hacían,agua,hospédame
que vuelvo año que viajar,volverme,estoy
Pésimo,24 baños MUY SUCIOS,información
solamente la ya,la  habitación,que
very  staff,very  tours,was
only  kitchen,only  lobby,works in
nights  we,nights  price,complain
nearby  you,Btw  weekends,are
so  we,somewhere  day,try
cold  we,peru,was
when  we,5  nights,left
they,us,saying
enough  they,us,got enough
they,rudeness,were
shower they,toilet roll,were
I,it,recommend
away Inkas Machupicchu they,reservation,booked
this,original  quality,say
I,all,was nice
We,25 bedroom night,ended
sacred  which,sacred  car,booked several
Shower,time,was hot
which,small  souvenir,got
We,Andean Comfort Inn,loved
We,13  nights,booked
they,luggage,returning to
much coca you,altitude,is delicious
own bathroom Blankets,bottom  floor,had
too  which,same  day,used
They,good souvenir prices,have
Machu Picchu it,affordable  price,booked
when  we,back  them,staying
bigger  which,street,asked
hot  Doors,all,shut
cancellation we,bad  review,let
bad  I,unfortunately  place,write
extremely  I,loud  me,are
out  door,wide  valuables,was
Apparently  they,it,forgot
I,room,switched
seriously  place,costs,attracted by
we,first  day,went
night  they,loudly  guests,watching
there  you,good  Cusco,reason
usually  place,usually  reviews,am
online  we,phone,work
owners,little  care,looking
even  we,same  money,couse
First  picture,place,reflecting
We,swan picture,had
You,bed,see
one  side,beep beep street,wake
dry  I,dry bed breakfast,am sick
who,breakfast ham,was
few  it,tight  budget,your on
night  we,long  log,decided on seperate
down  side,hot  water,was
which,S60,arranged
we,night,left
we,Cusco,left
staff,what,get
We,place,stayed at
It,nice street view,has
extremely  you,everything,'s
buen baño por,el personal es,explicación
La señora que,con los huéspedes,atiende
По английски,не говорят,ресепшионисты
огромный журнал куда,Куско какой стране и,в
simples porém bem,e com clima,organizado
O,é bom,preço
pois para se,pé do,chegar
perfecto excelentes de ciudad,una estadía corta el es,tiene
nice  I,place,suggest
serving  breakfast,Most  staff,was
Breakfast,long  time,was ok
no,nothing,was
staff,shower,broken
2  tuvimos,cocinar,derecho
Tuvimos que,10  soles,pagar
como nos perguntou Isso,maior cara fechada,com
rooms,minimum,have
owner,booking information,is intense
I,private hostel deposit,booked
I,2  hours,arrived
room,10,said
boss,available  me,returned at
private sister I,private sister ensuite,reassured
only  bathroom,exclusively  me,let
other  all,exclusive  bathroom,became clear
4 bed dorm,room me,said
else  That,else  room,go
me,original  hostel,found
I,elevated  it,tried
I,price,took
how  place,reality,was surprised
forgettable breakfast place,forgettable breakfast bar,is
regular  you,probably  worse,seen worse
you,hotels,stay
reduced  it,still  money,booked
which,louder  noise,was
they,next  room,hear
6  we,anymore  it,happened at
we,barely  one,asked for
I,definitely  hostel,recommended
breakfast,night  cuzco,were friendly
main  it,main  square,'s easy
too  which,english,spoke
renovations,issues,guess
hostal,friendly  staff,found
other minute I,similar  price,walk from
continental  you,even  cuzco,have
well  place,shops,is close
lot booking they,relevant  information,helped
Close Main crew,Close Main street,is
good  you,Machu Picchu,is
night  that,blanket,stinks of
room,stained  one,were filthy
only  them,request,had
apparently  they,bad  smell,checked
I,rating,had
I,times  2002,traveled to
best hotel I,best hotel value,is by
location,starters,is
room,comfortable  bed,was clean
wifi,third  floor,worked great
I,average  rating,understand
I,highly  hotel,recommend
I,between Hatun 3,call
de  it,de  Armas,located
Wi Fi,room,was available
I,common  it,had
when  I,more Aguas nights,held
when  I,local  calls,let
I,luxury,return
you,continental  breakfast,included
little  it,little  morning,be nice
you,incompetent  service,expect
Management,especially evening times,is
You,other  duties,need
where  we,hot  room,water in
They,room,had
altitude I,3  headache,woke
front  nobody,front  desk,answered
3  Time,6  9am,scheduled from
We,640am,arrived at
It,phone problem,took
it,it,work
small  we,small  room,had
you,corridor  light,beware
Someone,second  floor,peek into
This,1 star hotel,is
good  thing,especially breakfast room,is
location,main  square,are
People,cases,are friendly
me,accountant,was
ones,4th  floor,are small
We,three July Cusco,booked
reservations,days  July,made in
fully  they,reservations,told
they,me,did
it,rooms,were
just  it,problem,is
away  we,wonderful  Cusco,found
hotel,de  Armas,located in
very  rooms,room,was
Free  buffet,juices,included
time  I,Cusco,come
central  heating,winter,went in
small heating unit,me,asked
they,really  us,felt
we,cold,was
he,refund,asked
second  we,third,stayed on
I,it,recommend
hotel,small  shops,located on
place,perfectly  explorers,situated
You,good  restaurant,walk in
extra  you,extra  blankets,be warm
I,heaters,have
lots,windows  worries,be
Carlos V,you,going
It,old  Cusco,'s
It,very Cusco activities,has
Many  bars,eating stone throw it,are
we,great  Cusco,mind
6  hotel,suplly  towels,had
so  we,resturant,was
3  we,much  more,moved to other
hotel,brand,refurbished
that,everything,helps in
We,Really  stay,enjoyed
web photos,hotel,look
This,worst  Peru,was
tiny  husband,minute window,booked
we,toilet,ignored
we,them,asked
whole  place,faded  look,were
they,back  bag,care
Staff,one  guests,were close
advice-,plague,avoid like
5  people,good  you,are
inca Machu we,travel agency,placed in
we,different  place,stayed in
two  people,same  floor,seems
breakfast,variety,tasted awful
I,theirs,paid for
other  We,night Quechua person,looked for
We,Cusco,used
tiny  we,daily  basis,asking for extra
fairly  we,corner,ate
plus  it,central  night,'s in
US$  we,superior  hotel,represent
we,us,was
nada mas se,algo mais luxuoso,você
die,Wasserausgabe,was
gestohlen,dem Gehen,aufpassen
mismo y conviene,un café,instalaciones
préstamo de su,es cómodo,desastre
Olvide el envío de,ciudad de origen,objetos
distintos,turisticos,lugares
amable cocina es Satia,me como en casa,sentir
es el lugar,en  quedare,que
camas que son,de casi dos plazas,funcional
se estará muy,muy buena gente,presente
pero al,de  nosotros,llegar
El chico,se muy de confianza,lugar
sono,affacciano un meraviglioso giardini,grandi
hotel formando y la verdad,de este hotel,Visite
un pequeño restaurante,de también el restauración,donde
cuentan con lo,son muy cómodas,habitaciones
para grupos y,con mi familia,delegaciones
ahí siempre están,y recomendaciones,que
varios,recorrer la ciudad,lugares
queja aunque debo,que,mencionar
e confortável sono antes de,e confortável e café,Pichu
banheiro,os maus cheiros,tinha
price,me,was lower
rooms,price,are nice
so  this,me,brought plastic
too  room,street,quiet
main  it,sexy  woman,is
fica localizado afastado,de  Cusco,do
ideal se,quer em,você
y tiene un,con wifi,precio
trascorso la del primo dell,molto gentile ed,anno
Pasé y lo recomiendo,y los precios,gracias
Te,de con WIFI,sientes
6 años siempre que,nos  Gabriela´s,viajamos
me,visitar,amigos
nos han hecho,en  casa,sentir
tiny  everything,low  variability,was cold
hot  you,to  advance,was cold
it,historical  center,is
room service,bed sheets,was okay
they,us,sent
quite  it,nice  architecture,has
quite  we,cool  first,were
whole  room,much  cellar,work
then  we,Machu Picchu,stayed
staff,good  English,were
many  stairs,so city that,is
nicely  we,room,cleaned
dampness,really  damper,put
that,same  problem,have
5 Machu we,fabulous  time,stayed at
always  we,fresh  towels,was
8  minutes,central  plaza,located at
us,transport,had
however  we,also  breakfast,were able
We,quiet  Cusco,recommend
hostel,close Touristy Saqsaywaman,situated
then  it,you,is
taxi,5 town soles,take
We,before Machu Picchu,stayed for
WIFI,open  area,is
basic  we,basic  what,option
worst  we,hotel  hostel,traveling for
we,45  explanation,left
that,one,received
one  people,bad  coffee,went
we,cozy Plaza De Armas,packed
Chincana Wasi,poor  location,is
when  temperatures,so  dinner,make
I,anyone,recommend
I,three Inca Trail,returned from
very night that,very  detail,were
some,rooms,have
quickly  air,particular  time,had
very  which,very  Peru,was
it,me,meant
when  you,3 star hotels,made
budget you,good  me,experience for
taxi,hotel,need
even  taxi,way  hotel,book
little  you,Inca Trail,is
we,it,was
we,it,arrived
well Inca I,it,stay
girlfriend  I,4 Inca Trail Tour,stayed
however  staff,year,were
generally town(proper we,generally town(proper case,advised
enthusiastic  rooms,good  size,are of
views,hotel,are excellent
you,few  minutes,are adequate
central  courtyard,time  year,is
EXTRA  internet,available  rooms,are
slight  downside,hotel,is
when  you,little  altitude,walk up
magnificent San Blas which,magnificent Sacsaywaman Inca ruins,is
nice  we,excellent Chincana service,stay
leaking  floors,available  rooms,wet on
Most  you,nice passport security,provided
We,nights  Cusco,stayed
dinner,excellent  service,was warm
they,price,NEVER
immediatly  rooms,meters  Plaza,are comfortable
price,other  cusco,is
We,there  family,stayed
Las,y bien arregladas,habitaciones
para recomendar ideal para grupos,de pequeños así negocios,familiares
foi  piorores,hospedei,lugar
stay,everything,make sure
in  It,full size bed,had
They,modern  internet,offer
they,breakfast,offer
It,10 Sacred Pisac,located on
I,stay,liked
So  we,modest  price,came
it,price,friendly
place,La Casa Feliz,was wonderful
which,right  morning,is more
Quarto,sujo com poeira,muito
Cada dia precisávamos,pedir para que,avisar
não era bufe,da cada coisa,frutas
Dit hotel ligt,veel winkeltjes,met
een kopje thee,coca bladeren,met
bagage achter laten,1 nacht weg waren,was
en de kamer,geen,was
gehad en een restaurant,de stad,met
Nos alojamos los,22 de julio,días
nos la pusieron alegando,se las había llevado,lavandería
Las,nada cómodas,habitaciones
ridiculous  breakfast,small  fruits,is
You,small  portion,need
You,sure  Cusco,have better
Hemos,estabamos por pagar,check in
10  min,pagina les dado una multa,que
we,winter,came during
which,me,stayed out
water,tea,saw
you,hours,are thin
other  I,other  places,was
worst hotel I,confidence,had
We,reception,showed
Actually  guy,also convenience street,runs
minutes  lady,room,had
next  we,breakfast,are like
they,heater,was cold
third  one,two  heaters,worked
we,us,booked with
45  who,English,had
who,how  hotel,know
They,reception,have
who,you,have
there day they,other washing breakfast,are
most  people,days Machu Pichu,have
3  we,awful  stench,stayed
second  that,second  floor,was
there garbage truck,sacks,keep
they,it,realise
8  we,room cleaning,got
We,new toilet paper,had
they,close  shopping,pity
Restaurant downstairs Chinese Restaurant that,dirt,food
he,video computer,paid
I,3  receipt,had
day  i,4 days jungle,gave
they,clothes,forgot
EL,DE MI VIDAAAAA,PEOR
es muy las,al Hostel,habitaciones
peor es ante las acusaciones,Booking,mentira
Firstly  it,up taxi town,took
owner,10  pm,had
lower level room,running  bathroom,switched
nice  shower,cold  water,had
neighbourhood,uphill  centre,is
phone number,help,disconnected
du sur tout Je,Avec  vue,+
other Hatun Wasi place,Hatun Wasi Hotel,found
second  it,second  floor,got
I,different  tours,ended
that,heater,asked for
I,short  notice,missed
so  I,that,'m thankful
morning hall shower,standing  water,flooded next
you,here  bathroom,be careful
they,hot  water,indicated
only  you,2nd  floor,is
view,top  floor,is amazing
However  staying,3rd  floor,was
random  you,early  sun,be ready
that,3rd  floor,is
longer  you,flights,kicked
I,again  anyone,stay
here  we,one  night,spent
significant  we,significant  place,was
fourth  bed,adjacent  room,had
We,adjacent  bathroom,had
strong wifi daughter,hot  water,was
pretty  showers,pretty  point,was
only  it,me,stayed
fast  I,head,On
We,away  Jack,bother with
San Blas Calle which,full  activity,is great
I,traveling house reviewer,saw
fast  we,issues,made fast
We,even  daughter,got
here  boyfriend,3  nights,stayed for
first  I,physically  hotel,left after
that,there  midnight,woken
young  children,them,wake
also  that,constantly  boyfriend,has
we,by  room,keep
husband,TV,had
women,water,went
checkout,10,received
we,checkout date,tell
when  we,10:01,figure
quite  we,1  pm,feeling
I,blatantly  no,hoping for
10  you,30  soles,need
ENTIRE I,ENTIRE HOTEL,STAYING AT
3  we,3  days,woken
today  we,11,checkout at
same  conversation,door,came to
we,hell,Needless
when  we,downstairs  reception,was
Hatun it,Hatun Wasi,was
there  we,night,asked
We,times  night,asked
apparently  it,2  morning,went
other  part,live music festival place,was from
we,discount,complained
there  you,good  sleep,have
We,1  night,stayed
so  you,decent  breakfast,get
enough  you,thing,feel
its,hot  water,has hot
fast  judt,room,tell
ge,nice  town,has
its,central  square,located
good  you,good  what,had
i,anyone,recomend
2013  it,great  money,stayed
hot  view,quite  roof,had hot
she,very  us,was
Peruvian  you,everywhere  jam,is
We,room,got
bad  part,San Blas,climbing up
laundry,2  doors,'s close
now jewelry I,photos,think
altitude sickness,coca reception,stayed
conservatory  which,conservatory  area,were
good  value,"1,5  bolivia",included
Amplias,con buenos servicios,habitaciones
Tem,café da manhã,oferece
tudo muito limpo,cabo,negócios
la nuit,le,passée
déjà suis arrivé fallu,15 le check,pour
app,capture,réservation
Ensuite elle Ensuite me,combien j'ai doit,chambre
souhaite également car,la nuit octobre il fait,utile
Je n'ai,de coffre fort,pas
de voiture fera l'objet,mélodie,longue
pris cet hôtel,me,pour
à plusieurs personnes,récupère mon argent,prix
raison du bar situé,dessous de toutes insonorisations,dépourvues
que esse hotel não,mais,do
Pior,expedia,que
door,hotel,is
late  you,back  hotel,going
you,him,have
one  they,rooms,have
so  we,receipt,was
3:30  we,much  sleep,get much
ever  I,ever  anybody,recommend
This,worse  Cusco,be
here  they,just  money,want
con mi estuvimos,felices ningún problema,que
hostel,also walking armas,is
price,Cusco,is in
really  you,extra  blankets,was
water,bath,was
you,extra  price,is
lady,very  excursions,was
pedro y también,caminar,puedes
Las,básico,habitaciones
varias mantas esta,En  la,dormir
Hay una cocina,usar con costas,puedes
la  señora,y nos amable y encontrar,excursiones
buenos precios,mucho de la caminando,puedes
ultimo  piso,la y el habitación,que
que nos con la sorpresa,todavía estaba ocupada,que
había cable,cama dos cabellos,cama
them,hour,had
Eventually  they,room,found
It,king bed,had
little  we,night,was
breakfast,many  choices,have many
Though  it,early  time,start at
majority,hotel English,speak
I,which,took
TV,fuzzy  screen,was terrible
pretty  we,it,told
It,de minute Armas,was
El hotel solo,de  desayuno,cuenta
horarios y llevar propios,y servirlos,alimentos
recomiendo para personas,pareja solitarios,viajeros
alternativa económica para,nada de cuzco nada lujos,alojar
agua fria con agua ya,tuvo,que
that,Korean  chef,visited
one  meals,looking  picture,feature
so bf we,forward  lunch,ordered
literally  you,geocery shop,was
boyfriend,little  dumplings,got
we,place,expressed to
They,nice  food,have
still  it,even  it,have central
also  we,earlier  hotel,was
worst  I,kinda  vacation,stayed
hotel,negative  5,deserves
just  your,reservation,looks
they,also booking issue,asked
us,reservation problem,had
reservation,him,called by
he,call,said
two  we,thanks  agent,moved to
I,other  hotel,had
I,date,are
good  they,quite  heating,were
it,overall  hotel,raise
we,several Machu Picchu,was helpful
I,really  place,recommend
it,price,be worse
which,it,is
we,scrambled  egg,sat
awful customer staff,generally  guests,was awful
había ninguna reserva,mi nombre,hecha
1 Star reviews,means,consider
3  hostel,3  stars,deserve
fantastic Mama Simona I,decent  morning,stayed for
girl,counter,was
hostel,de  Armas,located
one  place,one  night,was
best  you,next  plaza,place in
first  hostel,first  impressions,Visited
where  wifi,town,work
front  we,door,told
Lastly  friend,back  Bolivia,arriving at
guy,even  them,left at
mates,reserved  beds,is
Horrible  I,alternative Pariwana Hostel,Try
7 solo le habíamos,él  que,comentado
jamás se vio,por lo sucedido,afectado
Al,el pago final,realizar
we,price range,was dirty
pretty  they,expensive  headphones,is nice
Israely  tourists,very living room,are
We,stay,loved
big  supermarket,5min bus walk,stayed with
Good,hostel,arrange
little  pillows,little  kitchen,needs
stay,upstairs  staff,Thanks to
young  women,hostel,stayed at
hostel building,courtyard  breakfast,is beautiful
Beds,good  courtyard,are fine
locked  they,very  me,were
very  I,me,am
Israeli  who,several  nights,was
one  we,one  another,stayed in
other,water,blew
around shampoo it,around shampoo floor,cleaned
We,free ants charge,get
We,few Sacred days,stayed
Location,main  plaza,is in
Room,quite  price,is
securely  one,obviously  someone,locked
luckily  we,spare  backpack,put
hostel he,English,told
I,story,believe
he,this,asked
he,whole  day,said
finally  we,really  time,let
good  this,beginning,is
Overall  hostel,also hostel owner,recommended
Gracias  a,gastamos mucha taxis,eso
2 NO noches,llegamos,nosotros
es la es misma,hay más hostales,donde
Una gran,poca,experiencia
there  they,us,is
para era local,hostel,do
mandaram  nos,seria mais algo,preço
pagar da reserva pelo,para deixar estar,que
Nous  avons,de sur chambre,booké
Quelques,nous devions payer,ou
Ils ont,5  reprises,refusé nos
Ce séjour écourté,et la et cuisine,insonorisé
double  I,Booking,stay with
com,extortionate days rates,left
La persona,amable y,muy
Limpieza,los días,todos
de dar un trato,los huéspedes,personalizado
i,facilitaban  comidas,mi
We,opdagen dus zijn,we
iets,80 het ontbijt,was
Cuarto solo un calentador,ruidoso y barato,pequeño
Pedimos que,las,no
room,zero  insulation,had
I,2  degrees,taking
much  sound,right  walls,coming
Bathroom,toilet this,had
when  you,it,broken
someone,out,locked at
staff this,staff members,acted
9:30  I,doorbell,had
you,physically  it,falling out
owner,extremely  tours,was
he,other tour agents,wanted
hall de entrada,nos café da manhã,que
limpeza,quarto era boa,do
Localização péssima,muito longe muito centro,do
quarto que banheiro,foi tudo bem,tinha
y un váter,almohada sin puerta,junto
por dentro para,lo que,que
le,ni hablar,puedes
lower Limbus hostel,lower Limbus bar,prove
We,4 Machu days,spent
we,thin  water,was nice
new  which,new  rooms,asked
supper  they,rarely  anything,are
thin  line,cold  water,taken to
so toilet we,spare  room,taken
maybe  one,just  you,is
good  things,place,were
which,lovely  view,l
I,across South America,was
enough  us,down  taxi,was kind
there  you,heavy  luggage,is
it,hour,knew
it,there  night,made
two  we,last  night,has
other  which,other  area,is decent
aspects,great  rooms,'s hard
time water we,only  Spanish,are
you,bright  light,disturbed by bright
coca website,coca what,sell
So budget you,you,depending on
bars  nightclubs,main  plaza,is
rooms,private  bathroom,were comfortable
Me,it,agree on
amazing buffet breakfast,stay,included with
This,amazing  location,is
We,late New Years Eve,made
usual  check,later  afternoon,was
they,high  rates,try
nobody,anything,had warm
room neighbours,more water days,said
It,room,was cold
staff,young  reception,was
very  they,last  hostel,was
construction,loud  music,done at
even hotel nothing,even hotel director,had
good  I,anything,was
First  we,how  B,booked
front  who,also tour reservation,featured in
agreed  price,us,tried
thanks  who,saving  hostel,found
that,all  floor,had
worst  Harry,100  us,Third
He,advance,agreed
guy,standard tour practice,owns
when  we,early  morning,took
it,way,came
Harry,additional  blankets,was cold
hostel,same quaint street,located
nice  hostel,nice anyones breakfast,included
They,good  price,arranged
opposite  you,cheap  places,Going on
I,best San interests,like
5  minutes,incredible  city,is
room,own  bathroom,was basical
Possibility,airport,arrange
which,other booking them,stayed in
we,that,promised
some,inka empire,found
then  we,over  tours,were
it,hostel,stay in
so  you,elsewhere tour cuzco,m
muito barulho quando,muito barulho noite toda,você
varias padarias próxima,hotel,do
y discutiendo recepcionista que saber,mismo y otro,que
Las,por otra lado,instalaciones
non riconoscendoci confermare al telefono,neanche il trovare un alloggio,camere
de confirmar vía Lo,decía,hecha
acuerdo sobre la separación,de  habitaciones,había
que podríamos denunciarlos,de dieron la cara,por
anterior hora de llegada,teniam constancia,habitación
Vamos,ni lo recomendamos,que
ok  breakfast,free  tea,included with free
we,room,had
room,windows,Let
5  this,room,enables
5  room,5  window,has
anytime  they,5  room,want
rooms,proper  walls,have
thing,just  room,is
loud dance 12,loud dance music,do
So  it,So  that,'s impossible
where  she,common area store,is
plastic  we,1  day,were in
4 day we,too  Cusco,booked
really  I,5  costs,avoid
she,2  Wornning,asked
young  we,really  anything,sent
I,really  place,recommend
lado de lado fora,hotel,do
e apenas disponibilizam pão,local geladeira para uso,existe
they,just  tea,was OK
owner,security cameras,stolen from
We,shower,had
We,wifi,had
laundry  they,laundry  service,offer
they,evening,is better
you,it,is
i,good quality matrasses,like
Also  i,good quality sleep,blessed with good
She,new  ideas,is
gringo planet,peruvian  planet,is
so family you,family,feel as
you,also  dog,have
you,food,want
where  you,nice  mountains,is
me,place,was good
other  this,old  pro,is
u,own  bath,get
3  she,you,is
worst  we,ever  hostel,was
really  we,really  room,declared
important  we,thrgough hostelworld,offered
we,either  door,were
this,days  hostel,confess
later  which,process,asked
I,lie,bought
she,stove,brought
soles(which,200,payed
then  husband,even room morning,was in
3  I,new  towel,charged
just  you,already room charge,know
kids,rest,bothered
I,hostel,recommend
double  others,running  water,charges
Routinely  water,off  Incama,is
when  you,it,luck with
So  you,only  try,give
positive  you,based  cusco,find
you,large  groups,is excellent
you,front  door,is
archaeological research it,really  home,stayed
much  we,budget price,had double
who,it,are lovely
is,always  go,is
30  seconds,low  prices,eat in
roof terrace,capped  eyes,gives incredible
everything,lot  Plaza,is
Altogether  hostal,real Cuzco experience,blow
group,two  weeks,stayed
well  quality,improvement,is
great  rooms,good  clean,do with
14  we,group,is terrible
which,communal  evenings,need
this,budget,is
you,what,get
I,experience,try
fast  I,quick google search,was in
that,hostels,was
place,single  bathroom,looked fancy
I,it,was great
10 Sol cab I,10 Sol cab ride,landed in
hostel,central side Cusco,is in
It,pictures,is
you,even  room,ask
like,What,was
everytime  you,rest,was tiny
who,first  night,were helpfull
